id,name,prefecture,latitude,longitude,source
1001,三笠,北海道,43.246601,141.80455,mlit
1002,スタープラザ　芦別,北海道,43.525518,142.188894,mlit
1003,南ふらの,北海道,43.169701,142.572798,mlit
1004,しらぬか恋問館,北海道,42.992735,144.198127,mlit
1005,びふか,北海道,44.558858,142.320033,mlit
1006,江差,北海道,41.894342,140.139289,mlit
1007,望羊中山,北海道,42.855177,141.096589,mlit
1008,えんべつ富士見,北海道,44.71412,141.793647,mlit
1009,忠類,北海道,42.558862,143.299194,mlit
1010,摩周温泉,北海道,43.492391,144.447719,mlit
1011,おといねっぷ,北海道,44.729078,142.257872,mlit
1012,かみゆうべつ温泉チューリップの湯,北海道,44.185182,143.595699,mlit
1013,いわない,北海道,42.983435,140.51678,mlit
1014,厚岸グルメパーク,北海道,43.05767,144.844018,mlit
1015,サンフラワー北竜,北海道,43.751048,141.875302,mlit
1016,みついし,北海道,42.220874,142.634226,mlit
1017,あっさぶ,北海道,41.916573,140.216154,mlit
1018,よってけ！島牧,北海道,42.686727,140.013417,mlit
1019,てっくいランド大成,北海道,42.212366,139.876681,mlit
1020,オホーツク紋別,北海道,44.328341,143.375004,mlit
1021,YOU･遊･もり,北海道,42.098901,140.568716,mlit
1022,おんねゆ温泉,北海道,43.754644,143.500531,mlit
1023,ルート２２９元和台,北海道,42.011397,140.106219,mlit
1024,ハウスヤルビ奈井江,北海道,43.433272,141.888802,mlit
1025,おびら鰊番屋,北海道,44.137022,141.654956,mlit
1026,マリーンアイランド岡島,北海道,44.878376,142.631813,mlit
1027,おこっぺ,北海道,44.469498,143.116955,mlit
1028,阿寒丹頂の里,北海道,43.14402,144.146957,mlit
1029,おとふけ,北海道,42.976584,143.207419,mlit
1030,ピンネシリ,北海道,44.877462,142.213402,mlit
1031,上ノ国もんじゅ,北海道,41.808496,140.094966,mlit
1032,オスコイ！かもえない,北海道,43.165359,140.385569,mlit
1033,なかさつない,北海道,42.69214,143.126839,mlit
1034,マオイの丘公園,北海道,42.94998,141.716616,mlit
1035,樹海ロード日高,北海道,42.87679,142.442007,mlit
1036,そうべつ情報館ｉ（アイ）,北海道,42.559133,140.899048,mlit
1037,ニセコビュープラザ,北海道,42.799492,140.702395,mlit
1038,しりうち,北海道,41.601259,140.335834,mlit
1039,横綱の里ふくしま,北海道,41.479134,140.255731,mlit
1040,サラブレッドロード新冠,北海道,42.359836,142.315691,mlit
1041,ピア２１しほろ,北海道,43.144312,143.239276,mlit
1042,香りの里たきのうえ,北海道,44.19689,143.090986,mlit
1043,田園の里うりゅう,北海道,43.662509,141.894022,mlit
1044,みたら室蘭,北海道,42.342012,140.943745,mlit
1045,とうま,北海道,43.844134,142.4895,mlit
1046,スペース・アップルよいち,北海道,43.188538,140.788781,mlit
1047,ほっと♡はぼろ,北海道,44.366565,141.707301,osm
1048,サロマ湖,北海道,44.099918,143.824142,mlit
1049,愛ランド湧別,北海道,44.13082,143.719206,mlit
1050,おうむ,北海道,44.583037,142.959733,mlit
1051,さるふつ公園,北海道,45.329219,142.177348,mlit
1052,森と湖の里ほろかない,北海道,44.114633,142.139546,mlit
1053,うたしないチロルの湯,北海道,43.503388,142.004244,mlit
1054,くろまつない,北海道,42.672709,140.380034,mlit
1055,たきかわ,北海道,43.62344,141.941478,mlit
1056,スワン４４ねむろ,北海道,43.261674,145.43837,mlit
1057,つるぬま,北海道,43.451601,141.835718,mlit
1058,なとわ・えさん,北海道,41.779487,141.10163,mlit
1059,つど～る・プラザ・さわら,北海道,42.125213,140.667698,osm
1060,知床・らうす,北海道,44.017454,145.192089,mlit
1061,さらべつ,北海道,42.633311,143.271848,mlit
1062,だて歴史の杜,北海道,42.471721,140.8771,mlit
1063,あさひかわ,北海道,43.76,142.348446,mlit
1064,自然体感しむかっぷ,北海道,42.978859,142.39758,mlit
1065,にしおこっぺ花夢,北海道,44.335988,142.868068,mlit
1066,オーロラタウン９３りくべつ,北海道,43.467863,143.742367,mlit
1067,はなやか（葉菜野花）小清水,北海道,43.933921,144.453268,mlit
1068,ライスランドふかがわ,北海道,43.699483,142.070593,mlit
1069,なかがわ,北海道,44.801691,142.067348,mlit
1070,２３０ルスツ,北海道,42.739929,140.884563,mlit
1071,てしお,北海道,44.884572,141.747755,mlit
1072,コスモール大樹,北海道,42.489824,143.273259,mlit
1073,ぐるっとパノラマ美幌峠,北海道,43.647837,144.24901,mlit
1074,らんこし・ふるさとの丘,北海道,42.762099,140.478985,mlit
1075,とようら,北海道,42.577551,140.722382,mlit
1076,メルヘンの丘めまんべつ,北海道,43.917336,144.188488,mlit
1077,むかわ四季の館,北海道,42.573973,141.925464,mlit
1078,あいおい,北海道,43.545622,143.980525,mlit
1079,しかおい,北海道,43.097713,142.990276,mlit
1080,しらたき,北海道,43.870061,143.076278,mlit
1081,あしょろ銀河ホール２１,北海道,43.244332,143.546455,mlit
